,total,locked,free,currency,account_id,account_type,margins,reported,info,base_currency
2016-01-12 21:00:00+00:00,1000000.00,0.00,1000000.00,USD,SIM-001,CASH,[],True,{},USD
2016-01-12 21:00:00+00:00,195535.36,0.00,195535.36,USD,SIM-001,CASH,[],False,{},USD
2016-01-12 21:00:00+00:00,10083.00,0.00,10083.00,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 20:00:00+00:00,186168.40,0.00,186168.40,USD,SIM-001,CASH,[],False,{},USD
2016-04-13 20:00:00+00:00,10997.72,0.00,10997.72,USD,SIM-001,CASH,[],False,{},USD
2016-07-13 20:00:00+00:00,37231.72,0.00,37231.72,USD,SIM-001,CASH,[],False,{},USD
2016-07-13 20:00:00+00:00,11224.19,0.00,11224.19,USD,SIM-001,CASH,[],False,{},USD
2017-01-11 21:00:00+00:00,11904.49,0.00,11904.49,USD,SIM-001,CASH,[],False,{},USD
2017-04-12 20:00:00+00:00,12137.52,0.00,12137.52,USD,SIM-001,CASH,[],False,{},USD
2017-07-13 20:00:00+00:00,12625.36,0.00,12625.36,USD,SIM-001,CASH,[],False,{},USD
2017-10-11 20:00:00+00:00,13389.42,0.00,13389.42,USD,SIM-001,CASH,[],False,{},USD
2018-01-11 21:00:00+00:00,14492.90,0.00,14492.90,USD,SIM-001,CASH,[],False,{},USD
2018-04-13 20:00:00+00:00,61158.30,0.00,61158.30,USD,SIM-001,CASH,[],False,{},USD
2018-04-13 20:00:00+00:00,13740.70,0.00,13740.70,USD,SIM-001,CASH,[],False,{},USD
2018-07-13 20:00:00+00:00,296684.78,0.00,296684.78,USD,SIM-001,CASH,[],False,{},USD
2018-07-13 20:00:00+00:00,14748.50,0.00,14748.50,USD,SIM-001,CASH,[],False,{},USD
2018-10-11 20:00:00+00:00,129331.07,0.00,129331.07,USD,SIM-001,CASH,[],False,{},USD
2018-10-11 20:00:00+00:00,14152.57,0.00,14152.57,USD,SIM-001,CASH,[],False,{},USD
2019-01-14 21:00:00+00:00,73469.82,0.00,73469.82,USD,SIM-001,CASH,[],False,{},USD
2019-01-14 21:00:00+00:00,13237.22,0.00,13237.22,USD,SIM-001,CASH,[],False,{},USD
2019-04-15 20:00:00+00:00,378656.47,0.00,378656.47,USD,SIM-001,CASH,[],False,{},USD
2019-04-15 20:00:00+00:00,14743.12,0.00,14743.12,USD,SIM-001,CASH,[],False,{},USD
2019-07-16 20:00:00+00:00,15341.54,0.00,15341.54,USD,SIM-001,CASH,[],False,{},USD
2019-10-14 20:00:00+00:00,15044.59,0.00,15044.59,USD,SIM-001,CASH,[],False,{},USD
2020-01-14 21:00:00+00:00,16680.84,0.00,16680.84,USD,SIM-001,CASH,[],False,{},USD
2020-04-15 20:00:00+00:00,14180.00,0.00,14180.00,USD,SIM-001,CASH,[],False,{},USD
2020-07-15 20:00:00+00:00,525276.80,0.00,525276.80,USD,SIM-001,CASH,[],False,{},USD
2020-07-15 20:00:00+00:00,16520.80,0.00,16520.80,USD,SIM-001,CASH,[],False,{},USD
2020-10-13 20:00:00+00:00,463012.12,0.00,463012.12,USD,SIM-001,CASH,[],False,{},USD
2020-10-13 20:00:00+00:00,17995.89,0.00,17995.89,USD,SIM-001,CASH,[],False,{},USD
2021-01-04 21:00:00+00:00,67484.49,0.00,67484.49,USD,SIM-001,CASH,[],False,{},USD
2021-01-04 21:00:00+00:00,19172.00,0.00,19172.00,USD,SIM-001,CASH,[],False,{},USD
2021-03-31 20:00:00+00:00,1921951.33,0.00,1921951.33,USD,SIM-001,CASH,[],False,{},USD
2021-03-31 20:00:00+00:00,2009391.95,0.00,2009391.95,USD,SIM-001,CASH,[],False,{},USD
